Model,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std
Polynomial_deg3,0.9458783602436001,0.00765535372220983,228.70395942414808,14.399686659314968,330.2794869511098,37.74342806699711
GAM,0.8803758296671041,0.022133539710030407,321.61063625417194,33.2175341213133,490.51968206718357,65.29107480462251
Polynomial_deg2,0.8068082520272443,0.03543309342959316,440.07454283777616,30.235547134773917,619.0779369989231,42.48837754602884
Piecewise_ElasticNet,0.7958143816037782,0.026596912872693418,458.29609815536605,38.11217373624941,640.3894228386147,55.54262928680214
Lasso,0.6055988876980448,0.06145537975415933,669.6727833054744,41.26535332747331,887.4482950764232,56.50542122308703
LinearRegression,0.6055987880227424,0.06145630261761991,669.676061655971,41.265199455993205,887.4482975460205,56.5057047830234
ElasticNet,0.6055218822353338,0.060779237968258404,664.8337559160102,42.58708574848309,887.6831098238279,57.182766632042075
Ridge,0.6024432469483016,0.05951338909800487,661.8845372687055,43.25568876088034,891.4317446284706,58.086639399495525
SymbolicRegression,0.5353520976315842,0.10308744803849303,699.1094093292133,73.81205572226628,962.9322114328788,117.64475075244076
